"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"1999"	"1999"	11	4430141	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"1999"	"1999"	17	4430141	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2000"	"2000"	16	4447100	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2001"	"2001"	16	4467634	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2002"	"2002"	10	4480089	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2004"	"2004"	14	4530729	Unreliable
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"1999"	"1999"	13	624779	Unreliable
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2000"	"2000"	13	626932	Unreliable
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2001"	"2001"	10	633714	Unreliable
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2002"	"2002"	20	642337	3.1
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"1999"	"1999"	25	5023823	0.5
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2000"	"2000"	28	5130632	0.5
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2001"	"2001"	25	5273477	0.5
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2002"	"2002"	42	5396255	0.8
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2003"	"2003"	47	5510364	0.9
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2004"	"2004"	38	5652404	0.7
